日内瓦真正执掌政权的是（  ）,,选项 A ,,,,,,,
卢梭认为日内瓦共和国公民享有的（  ）政治权利，使他有义务详细研究社会秩序方面的问题,,选项 C ,,,,,,,
卢梭认为：人生来是（  ）的。,,选项 D ,,,,,,,
在卢梭眼里的“比其他一切更是奴隶”的“奴隶”是指（  ）。,,选项 B ,,,,,,,
“人生来自由”是反驳（  ）观点,,选项 C ,,,,,,,
人民被什么权利剥夺自由，运用同样的权利恢复自由的行为是（  ）的。,,选项 A ,,,,,,,
《社会契约论》发表之前，法国的政治思想是（  ）。,,选项 D ,,,,,,,
卢梭认为靠（  ）来推翻暴君用暴力维持的位子。,,选项 B ,,,,,,,
在《论人与人之间不平等的起因和基础》中，卢梭认为，暴君通过暴乱屠杀人民和掠夺财物的行为是（  ）。,,选项 C ,,,,,,,
在卢梭《论人与人之间不平等的起因和基础》中，他认为，影响短暂的和频频发生的革命的结果的因素是（  ）。,,选项 A ,,,,,,,
（  ）是所有其他各种权利赖以保持的神圣权利。,,选项 D ,,,,,,,
社会秩序的权利来源是（  ）。,,选项 A ,,,,,,,
最古老而又唯一是自然形成的社会是（  ）。,,选项 B ,,,,,,,
孩子依附父亲时的自然联系是（  ）。,,选项 C ,,,,,,,
孩子与父亲都同样进入独立状态后，依靠（  ）来维系家庭。,,选项 D ,,,,,,,
人人都有的自由产生于（  ）。,,选项 A ,,,,,,,
人的天性的首要法则是（  ）。,,选项 B ,,,,,,,
人什么时候是自己的主人？,,选项 C ,,,,,,,
政治社会的原始模型是（  ）。,,选项 D ,,,,,,,
只有在什么时候人才转让自己的自由？,,选项 A ,,,,,,,
国家中，首领以（  ）为乐。,,选项 B ,,,,,,,
格老秀斯以（  ）来推理确立权利。,,选项 C ,,,,,,,
父权的主要力量来源于（  ）。,,选项 D ,,,,,,,
按照（  ），过了孩子需要父亲帮助的时候，父子平等。,,选项 A ,,,,,,,
格老秀斯以（  ）为例，否认世上的一切权力都是为了有利于统治者而设立的。,,选项 B ,,,,,,,
松侯爵认为研究（  ）愈研究愈糊涂。,,选项 C ,,,,,,,
亚里士多德认为人不是天然（   ）。,,选项 D ,,,,,,,
人民首领的资质高于人民的资质，这个推论是由（  ）推论的。,,选项 A ,,,,,,,
卡里古拉是（  ）。,,选项 B ,,,,,,,
普鲁塔克的《但愿牲畜能运用理性》引用了什么典故？,,选项 C ,,,,,,,
奴隶们会在枷锁的束缚下，失去（  ）。,,选项 D ,,,,,,,
三个三分天下的大君主的父亲是（  ）。 ,,选项 A ,,,,,,,
人们不能不承认（  ）曾经是全世界的主权者。,,选项 B ,,,,,,,
最强者想成为永远的主人，必须把他的强力转化成（  ）。,,选项 C ,,,,,,,
最强者由强力转化而成的权利，实际上已经形成为了一种（   ）。,,选项 D ,,,,,,,
上帝创造的世界上的第一个人是（   ）。,,选项 A ,,,,,,,
世上的洪水泛滥时，挪亚一家为什么没有被洪水淹没？,,选项 B ,,,,,,,
在《父权政治，或：国王们的天赋权力》中，写道：国王的绝对权力是（   ）。,,选项 C ,,,,,,,
强力是一种（   ）力量,,选项 D ,,,,,,,
向强力屈服是一种（   ）行为。,,选项 A ,,,,,,,
靠强力取得的权利的后果会随（   ）而改变。,,选项 B ,,,,,,,
最强者对人们施加强力获得的服从（   ）。,,选项 C ,,,,,,,
一切（   ）都来自上帝。,,选项 D ,,,,,,,
以下哪一个表示君权神授说？,,选项 A ,,,,,,,
人们只是对（   ）才有义务服从。,,选项 B ,,,,,,,
人与人之间只有用（   ）来作一切合法权威的基础。,,选项 C ,,,,,,,
一个人成为奴隶，是转让了他的（   ）。,,选项 D ,,,,,,,
奴隶转让自己的自由是指（   ）。,,选项 A ,,,,,,,
格老秀斯认为，一个人可以转让他的（   ）。,,选项 B ,,,,,,,
自由是一种（   ）权利。,,选项 C ,,,,,,,
格老秀斯认为，一个国家的人民应该（   ）。,,选项 D ,,,,,,,
奴隶为什么要卖自己？,,选项 A ,,,,,,,
有人认为（   ）能保证臣民共享社会太平。,,选项 B ,,,,,,,
专制主带来的社会太平本身就是他们（   ）,,选项 C ,,,,,,,
洞穴中的希腊人是（   ）,,选项 D ,,,,,,,
洞穴中的希腊人的结局是（   ）,,选项 A ,,,,,,,
一个人无偿地把自己奉送给别人的行为是（   ）,,选项 B ,,,,,,,
孩子的自由属于（   ）,,选项 C ,,,,,,,
孩子在达到理智的年龄以前，他们的父母有权（   ）,,选项 D ,,,,,,,
如何让一个专制政府变成一个合法政府？,,选项 A ,,,,,,,
放弃（   ）相当于放弃自己做人的资格。,,选项 B ,,,,,,,
（   ）制度的建立有伤天性。,,选项 C ,,,,,,,
卢梭否认普芬道夫的推论，他认为（   ）是人们协定和制度的产物。,,选项 D ,,,,,,,
一个人把自己的（   ）转让给别人后，与自己无关了。,,选项 A ,,,,,,,
一个人被剥夺了行使自己意志的自由，就等于剥夺了（   ）,,选项 B ,,,,,,,
条约规定一方享有绝对的权威，另一方无限地服从，是（   ）,,选项 C ,,,,,,,
格老秀斯认为（   ）是奴役权产生的根源之一。,,选项 A ,,,,,,,
战胜者有处死被战胜者的权利，但被战胜者可用（   ）来赎取自己的性命。,,选项 D ,,,,,,,
酿成战争的是（   ）。,,选项 D ,,,,,,,
路易第九为什么先允许，又禁止私人战争？,,选项 B ,,,,,,,
战争是（   ）的关系。,,选项 C ,,,,,,,
战争中，每个国家只能以（   ）为敌。,,选项 A ,,,,,,,
“上帝的和平通谕”发布在（   ）时期。,,选项 D ,,,,,,,
在卢梭看来，（   ）人最懂得、尊重战争的权利。,,选项 C ,,,,,,,
卢梭认为只有明确表明反抗敌人才能允许志愿参军的观点，是根据法律和（   ）提出的。,,选项 C ,,,,,,,
向某国宣战，应告知（   ）,,选项 B ,,,,,,,
未经宣战便抢劫、杀害对战国的臣民，等同于（   ）的行为,,选项 A ,,,,,,,
战争中，行事公正的君主只攫取敌国的（   ）,,选项 A ,,,,,,,
战争的直接目的是（   ）。,,选项 D ,,,,,,,
国家的政权可以被消灭，但不消灭（   ）。,,选项 C ,,,,,,,
格老秀斯不承认战争不能产生与它的目的无关的（   ）。,,选项 B ,,,,,,,
战争不能产生与它的目的无关的权利，是建立在（   ）的基础上。,,选项 A ,,,,,,,
（   ）纯粹是根据最强者的法则。,,选项 D ,,,,,,,
霍布斯的论述方法是（   ），格老秀斯的论述方法是诗人的方法。,,选项 B ,,,,,,,
根据（   ）来确定生杀权。,,选项 C ,,,,,,,
（   ）的使用意味着和平条约的不存在。,,选项 D ,,,,,,,
在《论奴隶制》中，无论从哪方面看，（   ）是根本不存在的。,,选项 A ,,,,,,,
“奴役”和（   ）互相矛盾。,,选项 C ,,,,,,,
卢梭认为专制制度的建立出于（   ）是不符合实际的。,,选项 B ,,,,,,,
不管受奴役的人有多少，卢梭认为他们只是（   ）在一起。,,选项 B ,,,,,,,
一群奴隶不能构成一个（   ）。,,选项 A ,,,,,,,
首领的利益（   ）。,,选项 D ,,,,,,,
格老秀斯认为人民可以把自己奉献给国王，这是一种（   ）行为。,,选项 C ,,,,,,,
人民把自己奉献给过往的行为包含（   ）。,,选项 B ,,,,,,,
卢梭提出了（   ）种构成政治社会的方法。,,选项 A ,,,,,,,
构成社会的真正基础是（   ）。,,选项 D ,,,,,,,
选举结果为什么少数人必须服从多数人的选择？,,选项 C ,,,,,,,
卢梭认为人类到达（   ）境界，不改变生存方式，就会灭亡。,,选项 B ,,,,,,,
人类如何战胜超过人力的阻力？,,选项 A ,,,,,,,
每个人的力量和（   ）是保持自己的生存的主要手段。,,选项 C ,,,,,,,
社会契约的根本问题是（   ）。,,选项 D ,,,,,,,
社会契约的（   ）决定了它的不可变性。,,选项 A ,,,,,,,
（   ）的破坏，每个人便立刻恢复他原来的权利。,,选项 B ,,,,,,,
每个结合者都把自己奉献给集体的条件是（   ）。,,选项 A ,,,,,,,
毫无保留的转让要求（   ）必然是尽可能完美的。,,选项 C ,,,,,,,
事事由自己做主的结合是（   ）。,,选项 D ,,,,,,,
每个人都能从其他结合者那里得到（   ）。,,选项 A ,,,,,,,
简化社会公约是将（   ）排除。,,选项 B ,,,,,,,
社会公约的简化是将我们自身和全部的力量置于（   ）之下。,,选项 D ,,,,,,,
缔约行为产生了（   ）。,,选项 C ,,,,,,,
缔约行为产生的共同体具有（   ）。,,选项 A ,,,,,,,
城邦是由全体个人联合起来形成的（   ）。,,选项 B ,,,,,,,
缔约形成的共同体被动时称为（   ）。,,选项 D ,,,,,,,
缔约形成的共同体主动时称为（   ）。,,选项 A ,,,,,,,
达朗贝尔的《日内瓦》将城市分为了（   ）等人，不包括外国人。,,选项 C ,,,,,,,
在卢梭看来，现代人中几乎不知道城市是由（   ）构成的。,,选项 D ,,,,,,,
在卢梭看来，现代人中几乎不知道城邦是由（   ）构成的。,,选项 B ,,,,,,,
卢梭认为（   ）最不理解“公民”一词的含义。,,选项 C ,,,,,,,
臣民是国家的（   ）。,,选项 B ,,,,,,,
结合的行为包含有（   ）与个人之间的相互约定。,,选项 D ,,,,,,,
（   ）的决定可以使所有的人服从主权者。,,选项 A ,,,,,,,
要求主权者给自己制定一条自己不能违背的法律，违背了（   ）。,,选项 C ,,,,,,,
只能按唯一的同一种关系来考虑自己，那么个人都是在与（   ）订约。,,选项 B ,,,,,,,
人民共同体在（   ）条件下不能与外人订约。,,选项 D ,,,,,,,
主权者完全是凭借（   ）而存在的。,,选项 A ,,,,,,,
破坏赖以存在的（   ），就是消灭自己。,,选项 D ,,,,,,,
人们一旦结合成一个共同体，侵犯成员就是伤害（   ）。,,选项 C ,,,,,,,
（   ）没有与个人的利益相反的利益。,,选项 A ,,,,,,,
不可能发生（   ）存心伤害成员的情况。,,选项 B ,,,,,,,
主权者无法（   ）。,,选项 A ,,,,,,,
（   ）会使个人对共同事业所做的一切都看作是无偿的贡献。,,选项 C ,,,,,,,
个人会把构成国家的（   ）看作理性的存在。,,选项 A ,,,,,,,
公民只想享受权利不愿尽义务的做法（   ）,,选项 D ,,,,,,,
（   ）才能使其他约定具有效力。,,选项 B ,,,,,,,
（   ）是保证公民依附于祖国的条件。,,选项 A ,,,,,,,
人们迫使拒不服从公意的人服从公意，即迫使他（   ）。,,选项 C ,,,,,,,
《社会契约论》的目的之一是（   ）。,,选项 D ,,,,,,,
物的隶属不损害（   ）。,,选项 B ,,,,,,,
人类从自然状态进入社会状态，（   ）代替了本能。,,选项 A ,,,,,,,
听从天性驱使前要遵从（   ）。,,选项 C ,,,,,,,
社会契约会使人获得（   ）。,,选项 D ,,,,,,,
公共的所有权对（   ）不是更合法。,,选项 B ,,,,,,,
在缺乏法律的情况下，（   ）是财产权受他人尊重的唯一标志。,,选项 A ,,,,,,,
最先占有权按（   ）进行给予。,,选项 C ,,,,,,,
古代的君主未意识到（   ）。,,选项 D ,,,,,,,
（   ）没有打破自然的平等。,,选项 B ,,,,,,,
第二卷第一章主要讲的是（ ）。,,选项 A ,,,,,,,
卢梭认为，主权不能转让的主要理由是（?????）。?,,选项 D ,,,,,,,
卢梭说：“（  ）可以转移，但是意志却不可以转移。,,选项 A ,,,,,,,
只有（ ）才能按照国家成立的目的即共同的福祉来指导国家的各种力量。,,选项 A ,,,,,,,
由于（   ）的冲突使社会的建立成为必需。,,选项 B ,,,,,,,
主权者是一个（ ）的存在。,,选项 A ,,,,,,,
个别意志与公意相一致是（ ）。,,选项 C ,,,,,,,
个别意志由于其本性总是倾向于（ ）。,,选项 A ,,,,,,,
首领的号令不一定意味着主人的产生，在此时，（   ）则表示人民的同意。,,选项 D ,,,,,,,
第二卷第二章主要讲的是（   ）。,,选项 B ,,,,,,,
主权是不可分割的：意志要么是公意，要么是个人的，假若是公意，则就会形成人民需要遵守的（   ）。,,选项 D ,,,,,,,
如果主权者之上出现了一个主人，则（ ）。,,选项 B ,,,,,,,
公意的宣告是一种主权行为，可以形成（ ）。,,选项 C ,,,,,,,
卢梭说政治家们由于他们不能在理论上分割主权，就在（   ）方面分割主权。,,选项 D ,,,,,,,
（   ）不满意自己的祖国，逃亡到法国，一心想讨好路易十三。,,选项 C ,,,,,,,
格老秀斯不满意自己的祖国，逃亡到（   ），一心想讨好路易十三。,,选项 A ,,,,,,,
巴贝拉克把自己的译本献给（   ）国王乔治一世。,,选项 C ,,,,,,,
第二卷第三章主要讲的是（ ）。,,选项 B ,,,,,,,
（ ）是个别意志的总和。,,选项 B ,,,,,,,
（ ）是从众意中除去互相抵消的最多数和最少数以后，剩下的差数。,,选项 D ,,,,,,,
如果有一个牺牲大众利益的小集团，那么每一个这种集团的意志对其成员来说是（ ）。,,选项 D ,,,,,,,
如果有一个牺牲大众利益的小集团，那么每一个这种集团的意志对国家来说是（ ）。,,选项 B ,,,,,,,
“每一种利益都有不同的原则；两种个别利益的一致，是由于与第三种利益相对形成的。”是（   ）说的。,,选项 B ,,,,,,,
（   ）说：“事实上，既有对共和国有害的人群，也有对共和国有利的人群。有害于共和国的，是那些拉帮结派的人群；有利于共和国的，是那些不结成帮派的人群。”,,选项 D ,,,,,,,
“事实上，既有对共和国有害的人群，也有对共和国有利的人群。有害于共和国的，是那些拉帮结派的人群；有利于共和国的，是那些不结成帮派的人群。”出自（   ）。,,选项 A ,,,,,,,
如果小集团中有一个强过其他小集团的，那么你得到的结果是（ ）。,,选项 C ,,,,,,,
如果已经出现了小集团，（ ）可以防止他们之间的不平等。,,选项 A ,,,,,,,
梭伦把公民按财富多寡分为几个等级？（   ）,,选项 B ,,,,,,,
（   ）采取土地均分的办法来消除财富的不平等。,,选项 A ,,,,,,,
（   ）按公民各自的职业将他们分成许多小团体。,,选项 C ,,,,,,,
（   ）把罗马城中的居民编成许许多多“百人团”。,,选项 C ,,,,,,,
第二卷第四章主要讲了（ ）。,,选项 A ,,,,,,,
社会公约使政治体对自己的成员拥有一种绝对的支配的权力，当这种权力受到受公意指导时，称为（ ）。,,选项 A ,,,,,,,
人民的生命和自由是独立于公共人格的，因此我们需要区分（ ）。,,选项 D ,,,,,,,
卢梭认为只有（   ）能判断哪些事物是至关重要的。,,选项 D ,,,,,,,
按照理性或自然地法则，（   ）不能向公民施加对共同体没有用处的约束。,,选项 B ,,,,,,,
主权行为严格来说是一种什么行为呢？（   ）,,选项 C ,,,,,,,
共同体同它的每个成员之间的约定是合法的，因为它（   ）。,,选项 A ,,,,,,,
共同体同它的每个成员之间的约定是（   ）的，因为它对所有人都一样。,,选项 B ,,,,,,,
共同体同它的每个成员之间的约定是有益的，因为它（   ）。,,选项 A ,,,,,,,
共同体同它的每个成员之间的约定是（   ）的，因为它有共同的力量和最高权力做保证。,,选项 D ,,,,,,,
臣民服从社会公约，他们就是（   ）。,,选项 C ,,,,,,,
主权权力是（   ）。,,选项 C ,,,,,,,
如果主权者使某个臣民比另一个臣民承受更多的负担，那么主权者的权力（   ）。,,选项 B ,,,,,,,
第二卷第五章主要讲了（ ）。,,选项 A ,,,,,,,
第二卷第五章是第二卷第（   ）章的继续。,,选项 D ,,,,,,,
谁要别人在关键时候保全自己的性命，也要在必要时刻（   ）。,,选项 A ,,,,,,,
社会契约的目的是旨在（   ）。,,选项 A ,,,,,,,
公民能一直享受安全是因为（   ）。,,选项 B ,,,,,,,
死刑的原理：正是人们为了不至于成为凶手的牺牲品，他们才一致同意假如自己是凶手的话，自己也得死。在这里，人们的目的是（   ）。,,选项 A ,,,,,,,
（   ）是罪犯破坏了社会公约的证明和宣告。,,选项 C ,,,,,,,
刑罚的频繁，表明（   ）。,,选项 D ,,,,,,,
赦免和减刑的权利只能属于超出于法律之上的（   ）。,,选项 D ,,,,,,,
频繁的赦免必造成法纪的松驰，也伤害法律的尊严，这与共同体的意愿是（   ）。,,选项 D ,,,,,,,
在（   ），无论元老院还是执政官都不曾想过要赦免罪犯。,,选项 B ,,,,,,,
刑罚很少的国家是一个怎样的国家？（   ）,,选项 A ,,,,,,,
第二卷第六章主要讲了（   ）。,,选项 C ,,,,,,,
通过（   ）使政治体运作起来并表达其意志。,,选项 C ,,,,,,,
“法律是政治共同体唯一的动力。”是卢梭在《日内瓦稿本》中（   ）里说的。,,选项 D ,,,,,,,
事物之所以美好和符合秩序，是由于（   ）。,,选项 A ,,,,,,,
如果一个正直的人对大家都遵守正义的法则，而别人对他却不遵守，则正义的法则就（   ）。,,选项 A ,,,,,,,
“从最广泛的意义来说，法是由事物的性质产生出来的必然关系。”出自孟德斯鸠的（   ）。,,选项 A ,,,,,,,
当结合体作为整体形成了对比关系时：即全体在这种观点和另种观点之下的对比，此时人们所规定的事情就是公共的，这种行为就称之为（   ）。,,选项 C ,,,,,,,
法律可以拥有特权，但是不能将这种特权赋予（   ）。,,选项 C ,,,,,,,
主权者对某一个别的对象发出的号令只能是（   ）。,,选项 B ,,,,,,,
命令是（   ）行为。,,选项 B ,,,,,,,
凡是按法律治理的得国家，不论它的政府是什么形式的政府，卢梭都称它为（   ）。,,选项 A ,,,,,,,
卢梭把实行法治的国家称之为（???）。,,选项 A ,,,,,,,
服从（   ）的人民，应该是法律的制定者。,,选项 D ,,,,,,,
由于作出规定的行为者是公意，它所规定事情就带（   ）。,,选项 B ,,,,,,,
公众的智慧能使理性与（   ）在社会体中结合起来。,,选项 B ,,,,,,,
第二卷第七章主要讲了（   ）。,,选项 A ,,,,,,,
卢梭认为立法权属于（   ）。,,选项 C ,,,,,,,
卡里古拉根据事实来推论，他这个方法到了柏拉图的手里就变成根据（   ）来推论了。,,选项 B ,,,,,,,
柏拉图在《（   ）》中从权利的角度来描述他所寻求的统治国家的政治人物或做君主的人物是什么样子。,,选项 B ,,,,,,,
柏拉图在《政治篇》中从（   ）的角度来描述他所寻求的统治国家的政治人物或做君主的人物是什么样子。,,选项 B ,,,,,,,
（   ）说：“在社会诞生的时候，是共和国的首领在制定制度，而此后，就是制度来塑造共和国的首领了。”,,选项 B ,,,,,,,
“在社会诞生的时候，是共和国的首领在制定制度，而此后，就是制度来塑造共和国的首领了。”出自（   ）。,,选项 A ,,,,,,,
（   ）的力量剥夺得愈多，社会获得的力量愈多愈持久。,,选项 C ,,,,,,,
（   ）为他的国家立法时，是先逊位然后才开始立法的。,,选项 A ,,,,,,,
罗马在最兴盛的时候就发现，由于把（   ）和主权都集中在几个人的手里，国内便出现了许多暴政的罪行，使国家必将陷于灭亡。,,选项 D ,,,,,,,
按照基本公约，只有公意才能约束个人，而个别意志是否符合公意，是只有在人民举行的（   ）之后才能被确定。,,选项 D ,,,,,,,
（   ）说：“事实上，为了使人们能接受新的法律求助于神的干预，而且，必需承认，由于这些法律的性质决定了，不用这个办法，他们就不会被人们接受。”,,选项 B ,,,,,,,
“事实上，为了使人们能接受新的法律求助于神的干预，而且，必需承认，由于这些法律的性质决定了，不用这个办法，他们就不会被人们接受。”出自（   ）。,,选项 A ,,,,,,,
卢梭说，当骄傲的哲学和盲目的宗派思想说他们只不过是一时得逞的片子是，真正的政治家却发现他们创立的制度中存在着一种使他们的勋业得以长存的伟大而高超的天才。“骄傲的哲学”出自（   ）。,,选项 D ,,,,,,,
卢梭说，当骄傲的哲学和盲目的宗派思想说他们只不过是一时得逞的片子是，真正的政治家却发现他们创立的制度中存在着一种使他们的勋业得以长存的伟大而高超的天才。“骄傲的哲学”是谁说的？（   ）,,选项 B ,,,,,,,
华伯登是（   ）国神学家。,,选项 A ,,,,,,,
在国家始建之时，宗教是用来达到（   ）目的的工具。,,选项 A ,,,,,,,
《宗教与国家的联盟》是谁的著作？（   ）,,选项 C ,,,,,,,
第二卷第八章主要讲的是（ ）。,,选项 B ,,,,,,,
立法不能仅仅考虑法律的内容，也要考察它所适用的（   ）。,,选项 D ,,,,,,,
（   ）拒绝为阿加狄亚人和昔兰尼人制定法律，因为他发现这两个民族的人民都很富有，是不容许平等的。,,选项 A ,,,,,,,
卢梭在第二卷第八章中，请人民记住的定理是（   ）。,,选项 C ,,,,,,,
人们完全的遵守法律的情况是（   ）。,,选项 C ,,,,,,,
一个民族有（   ）机会成为完全遵循法律的民族，除非产生十分重大的革命。,,选项 A ,,,,,,,
一个民族必须尚处于（   ），才能重新获得自由。,,选项 B ,,,,,,,
一旦一个民族的（   ）衰竭之后，他们就不可能重新获得自由。,,选项 A ,,,,,,,
卢梭说：“自由的（   ）啊，请你们记住这句箴言:我们能争取自由，但我们永远不能恢复自由。”,,选项 A ,,,,,,,
卢梭把在国家整个存在期间的大动乱给人们带来的灾难比作（   ）。,,选项 A ,,,,,,,
（   ）永远不可能成为真正开化的民族，因为他们开化的时间太早了。,,选项 D ,,,,,,,
真正的天才是（   ），是白手起家、从无到有的。,,选项 C ,,,,,,,
有一个（   ）教师就是这样培养他的学生的：他像使他的学生在孩童时代就显得聪明过人，结果反而使他一事无成。,,选项 A ,,,,,,,
（   ）企图使全欧洲对它拱手称臣，但结果很可能是它自己被欧洲所降服。,,选项 B ,,,,,,,
（   ）有模仿的天才，但他没有真正的天才。,,选项 A ,,,,,,,
在卢梭时代，把暴君驱逐之后的荷兰和（   ）又重新恢复了青春活力。,,选项 A ,,,,,,,
第二卷第九章的标题是（   ）。,,选项 C ,,,,,,,
一般地说，符合比例的小国和一个大国相比（   ）。,,选项 A ,,,,,,,
随着层次的增多，（   ）的负担便愈沉重。,,选项 A ,,,,,,,
大国的（   ）还更加缺乏能力和果断的去执行法律，去防止官吏骚扰百姓与滥用职权，去消弭边远地区发生的动乱。,,选项 D ,,,,,,,
笛卡尔的旋转体理论出自（   ）。,,选项 D ,,,,,,,
《哲学原理》的作者是（   ）。,,选项 A ,,,,,,,
同一种法律由于各地风俗不同而可能会造成不适应，而（   ）由于人民要交流和联系，又会使得人民内部变得混乱。,,选项 B ,,,,,,,
卢梭借杠杆比喻，层次的增多，（   ）的负担愈沉重。,,选项 B ,,,,,,,
由一个至高无上的（   ）权威聚集在一起而彼此又互不认识的人群里，人们的才智必然会被埋没。,,选项 C ,,,,,,,
卢梭认为，对于一个体制良好的国家，它的（   ）是有界限的。,,选项 C ,,,,,,,
卢梭认为，人们的才智必然会在一个至高无上的（   ）聚集在一起而彼此又互不认识的人群里，被埋没。,,选项 C ,,,,,,,
第二卷第十章的标题是（   ）。,,选项 C ,,,,,,,
我们可以用领土的多少和（   ）来衡量一个政治共同体。,,选项 A ,,,,,,,
构成国家的是人民；而供养人民的是（   ）。,,选项 A ,,,,,,,
如果土地太多，则对土地的保卫就是一项沉重的负担，耕种土地的人力不足，物产过剩，这是出现（   ）的近因。,,选项 B ,,,,,,,
如果土地不足，则国家就会觊觎邻国的土地来补充自己的土地，这是引起（   ）的近因。,,选项 D ,,,,,,,
如果由于其所处的位置而只能在通商和（   ）之间选择其一的话，那它本身就是很脆弱的。,,选项 C ,,,,,,,
要计算出（   ）和人口数目之间互相适合的确切比例，那是不可能的。,,选项 A ,,,,,,,
一个（   ）不能依据自己所见到的，更要考虑未来可以预见的因素来行使权力。,,选项 C ,,,,,,,
由于各个地方有许多特殊的原因，迫使人们或允许人们拥有比他们实际的需要更多的（   ）。,,选项 B ,,,,,,,
